affiliation:ID,:LABEL
"George Washington University","Institution"
"Research and Production Corporation Radiy, 29 Geroyev Stalingrada St., Kirovograd, Ukraine","Institution"
"Wuhan University","Institution"
"National Aerospace University KhAI","Institution"
"Florida International University","Institution"
"University of Tennessee","Institution"
"Hawaii Pacific University","Institution"
"Old Dominion University","Institution"
"Center for Information Geoscience, UESTC, 2006 Xiyuan Avenue, West Hi-tech Zone, Chengdu, Sichuan, China","Institution"
"University of South Florida","Institution"
"Michigan State University","Institution"
"University of Cincinnati","Institution"
"Department of Computer Science East Carolina University","Institution"
"University of North Carolina-Chapel Hill","Institution"
"London School of Hygiene and Tropical Medicine, London WC1E 7HT, United Kingdom","Institution"
"Waynesburg University","Institution"
"Spartanburg Regional Healthcare System, 101 East Wood Street, Spartanburg, SC 29303, United States","Institution"
"University of Rhode Island","Institution"
"University of Geosciences","Institution"
"University of Wyoming","Institution"
"North Dakota State University","Institution"
"Toyohashi University of Technology","Institution"
"Purdue University","Institution"
"Kansas State University","Institution"
"Universityersité Paris-Est","Institution"
"Duke University","Institution"
"IBM Corporation, Alfred, ME, United States","Institution"
"University of Missouri","Institution"
"Augusta State University","Institution"
"Center for Creative Leadership, One Leadership Place, Greensboro, NC 27438-6300, United States","Institution"
"Carnegie Mellon University","Institution"
"West Texas A and M University","Institution"
"Swarmotics LLC, Laramie, United States","Institution"
"Florida State University","Institution"
"University of North Carolina at Chapel Hill","Institution"
"Beijing University of Aeronautics and Astronautics","Institution"
"University of Central Arkansas","Institution"
"JiShou University","Institution"
"Hydraulic Study Department, Calcutta Port Trust, Calcutta, India","Institution"
"University of Colorado at Denver","Institution"
"Open University","Institution"
"Pennsylvania State University - Harrisburg","Institution"
"Rensselaer Polytechnic Institute","Institution"
"Surface Optics Corporation, 11555 Rancho Bernardo Rd., San Diego, CA 92197, United States","Institution"
"Sun Yat-sen University","Institution"
"Woxsen School of Business, Jubilee Road No. 36, Hyderabad, India","Institution"
"Victoria University","Institution"
"Institute of Remote Sensing Big Data","Institution"
"Chaoyang University of Technology","Institution"
"Cardiff University","Institution"
"Auburn University","Institution"
"Key Lab of the Ministry of Education for Process Control and Efficiency Engineering, No. 28 Xiannin Road, Xi'an, Shaanxi, China","Institution"
"Department of Engineering East Carolina University","Institution"
"University of Calgary","Institution"
"Florida Atlantic University","Institution"
"Beijing Jiaotong University","Institution"
"Nanjing University of Posts and Telecommunications","Institution"
"School of Industry and Technology at East Carolina University in Greenville","Institution"
"Renaissance Computing Institute (RENCI)","Institution"
"School of Resources and Environment, UESTC, Chengdu, China","Institution"
"Northwestern State University","Institution"
"Rhode Island College","Institution"
"Lucent Technologies, Inc., 67 Whippany Rd., Whippany, NJ 07981, United States","Institution"
"Nanjing University of Sci. and Tech.","Institution"
"Portland State University","Institution"
"Harbin Institute of Technology","Institution"
"St. Joseph Engineering College","Institution"
"University of Georgia","Institution"
"Grambling State University","Institution"
"University of Electronic Science and Technology of China (UESTC)","Institution"
"Virginia State University","Institution"
"Indiana University","Institution"
"Central South University","Institution"
"Cleveland State University","Institution"
"Institute for Surface and Interface Science","Institution"
"West Virginia Geological and Economic Survey, P.O. Box 879, Morganstown, WV 26505-0879, United States","Institution"
"EHF Key Lab of Science, Chengdu, Sichuan, China","Institution"
"Fort Hays State University","Institution"
"North Carolina A and T State University","Institution"
"Jiangsu University of Science and Technology","Institution"
"University of Arkansas","Institution"
